sourceIPAddress,if_anomaly,if_score,lof_anomaly,lof_score,final_anomaly,risk_score
0.0,-1,-0.25589052951108127,1,-1.005077138099998,1,0.9156237383932175
0.1,1,0.17201636567546125,1,-1.133007361096248,0,0.29814291481631006
0.101,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.102,1,0.1387276137173259,1,-1.2091632256320284,0,0.25191764230924507
0.109,1,0.16071317388361805,-1,-32.4334467181316,1,0.5236172789664917
0.113,1,0.1286815642907035,1,-1.1497202644150668,0,0.2872426322163908
0.119,1,0.05555764155071463,1,-0.9901960807146288,0,0.44872830036334277
0.12,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
0.120,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.124,1,0.08196727690274486,1,-1.2341504197480337,0,0.2406136455389584
0.131,1,0.2099963776356808,1,-1.0,0,0.4222850222042794
0.132,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.134,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.140,1,0.18607853005512026,1,-1.2788874352996067,0,0.2186112232539362
0.142,1,0.10163766199877738,1,-1.2779744755902347,0,0.21921679450948728
0.146,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.149,1,0.15536123393151624,1,-5.6434694862893915,0,0.040573274121921674
0.151,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.155,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
0.16,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
0.165,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.167,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.168,1,0.14966914222650746,1,-0.9901157280482045,0,0.44913201453371016
0.169,1,0.17497322570986723,-1,-983510.9534415215,1,0.5038352846184901
0.17,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
0.171,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
0.175,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.18,-1,-0.109033594284761,1,-0.9533527770482545,1,0.9949535728704078
0.180,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
0.182,1,0.09199357179142498,1,-1.822339610422926,0,0.1021396851029471
0.188,-1,-0.16216022467895097,1,-0.9851355522504412,1,0.9634638675817522
0.19,1,0.1463181038141465,1,-0.9945454562243802,0,0.4364150181671377
0.190,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.192,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.195,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
0.198,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.199,1,0.11849201071173587,1,-1.2363152233816566,0,0.23980621719822365
0.2,1,0.1492621914154485,-1,-121.06646370052097,1,0.5173597093257973
0.20,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.201,1,0.1463181038141465,1,-0.9945454562243803,0,0.43621316108195396
0.202,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.203,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.204,1,0.2099963776356808,1,-1.0,0,0.4222850222042794
0.207,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.208,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.209,1,0.08750123899403478,1,-1.09873826127944,0,0.3211546225272507
0.211,1,0.1794663683330608,1,-1.010619561903732,0,0.40896245458215585
0.214,1,0.15423094766417567,1,-1.0402680853582367,0,0.37626160678239806
0.215,1,0.16813822265365314,1,-4.712647558735997,0,0.046023415421881306
0.217,1,0.16773112965057313,-1,-257444986.13535804,1,0.5014129995962858
0.218,1,0.09718501111732814,-1,-176805.6293874867,1,0.5072668550666128
0.220,1,0.20383429967987282,1,-1.0021203400078744,0,0.41844973758578924
0.221,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.222,1,0.15863554157915516,1,-1.0487121557099273,0,0.36879289463060155
0.229,1,0.11733697878597538,1,-1.0229029635176075,0,0.3936213161081954
0.230,1,0.2198049406371818,-1,-177209.95394477336,1,0.5068631408962455
0.232,1,0.08286120712203648,1,-1.1773503213413625,0,0.26988292289059346
0.234,1,0.21164072338535617,1,-1.0,0,0.4222850222042794
0.236,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.237,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.239,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.242,-1,-0.011909080558883844,1,-1.2765806153382948,1,0.7204279370205894
0.245,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.246,1,0.07446585975574138,1,-1.0718234285764026,0,0.34578118691966087
0.248,1,0.08004793714281017,1,-0.9892284412682804,0,0.4517561566410981
0.249,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.250,1,0.10674362196967452,1,-1.0316235797302091,0,0.3853451756156641
0.251,1,0.05670590117469099,1,-1.0958786784676813,0,0.3229713362939039
0.252,1,0.11331990783842699,1,-1.146768437996681,0,0.2892612030682277
0.253,1,0.11413006791369201,1,-1.1741083061305249,0,0.2731126362535325
0.254,1,0.034973985581773004,1,-0.9850553757284762,0,0.4636657246669358
0.255,1,0.10278403709714884,1,-1.1425611971025236,0,0.29228905934598304
0.26,1,0.11715874439684792,-1,-168386.36727365613,1,0.5074687121517966
0.3,-1,-0.22521021198652036,1,-0.9933949168705951,1,0.9400484457004441
0.33,1,0.02913548888636397,1,-1.765628438552675,0,0.10718611223253935
0.35,-1,-0.23803806484447732,1,-0.9933949168705952,1,0.9398465886152604
0.4,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.42,1,0.16188114199784676,1,-1.0203124654473057,0,0.39685102947113443
0.43,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.5,1,0.06922858592391357,1,-1.1144433882566624,0,0.3114654824384336
0.52,-1,-0.21347170492418122,1,-1.3687302304850186,1,0.6808639483245862
0.54,1,0.13452890341363416,1,-0.9607641679787138,0,0.49232943076301977
0.59,1,0.020069162906348192,1,-1.0056819419157574,0,0.4148163100524829
0.6,1,0.0975582685182303,1,-0.9858995917084432,0,0.4616471538150989
0.64,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
0.68,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
0.7,1,0.10945253099351326,1,-1.3067808468017224,0,0.20508679854662898
0.70,1,0.19356051065655616,1,-0.9873530521300191,0,0.4576100121114251
0.72,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.73,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
0.77,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.8,1,0.14660351493958945,1,-1.2825578924651566,0,0.21699636657246668
0.85,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.86,1,0.1685139458743542,1,-2.864740237849831,0,0.06499798142914816
0.9,1,0.06729062840022448,1,-1.3398209264450907,0,0.18994751715785224
0.90,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
0.95,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
0.99,-1,-0.037345795392594416,1,-1.4668392326322612,1,0.6534113847396044
